ATC1	ATC2	count	level	document
J05AB14	L04AA06	9	ingen	dokumenteret
A06AD65	L04AD01	21	mulig	veldokumenteret
B01AC06	L04AD01	1	ingen	veldokumenteret
B05XC	L04AD01	1	mulig	veldokumenteret
B05XC	L04AD01	1	mulig	ringe dokumenteret
B05XC	L04AD01	1	ringe	veldokumenteret
B05XC	L04AD01	1	ringe	ringe dokumenteret
H02AB06	L04AD01	7	ingen	dokumenteret
J01EE01	L04AD01	29	moderat	dokumenteret
J02AX04	L04AD01	2	ringe	dokumenteret
L01BA01	L04AD01	1	uafklaret	begrænset dokumenteret
A02BC02	L04AD02	17	ingen	dokumenteret
A06AD65	L04AD02	17	ingen	dokumenteret
C08CA01	L04AD02	1	mulig	dokumenteret
C08CA02	L04AD02	3	mulig	ringe dokumenteret
J01XD01	L04AD02	1	udtalt	ringe dokumenteret
L04AC02	L04AD02	25	udtalt	dokumenteret
C03CA01	M01AE01	1	uafklaret	ringe dokumenteret
C08CA01	M01AE01	1	ringe	dokumenteret
C10AB04	M01AE01	1	mulig	begrænset dokumenteret
J01GB03	M01AE01	4	uafklaret	ringe dokumenteret
L01BA01	M04AA01	2	moderat	dokumenteret
A01AB03	N01AX10	46	ingen	dokumenteret
C01CA24	N01BB09	11	uafklaret	dokumenteret
A01AB03	N02AA01	7	mulig	dokumenteret
N01BB02	N02AA01	2	mulig	dokumenteret
N01BB51	N02AA01	2	mulig	dokumenteret
N01BB52	N02AA01	1	mulig	dokumenteret
N01BB53	N02AA01	1	mulig	dokumenteret
N01BB52	N02AA51	7	mulig	dokumenteret
C03CA01	N02AJ06	1	ringe	begrænset dokumenteret
B01AB01	N02BA01	12	moderat	veldokumenteret
A03BB01	N02BE01	1	uafklaret	dokumenteret
C01CA06	N02BE01	7	mulig	dokumenteret
M01AE01	N02BE01	1	moderat	dokumenteret
J01XD01	N03AA02	11	ringe	veldokumenteret
N02BE01	N03AA02	1	mulig	ringe dokumenteret
J01MA02	N03AF01	3	moderat	begrænset dokumenteret
B05BB01	N03AG01	14	ingen	dokumenteret
B05BB01	N03AG01	14	ringe	dokumenteret
J01DH02	N03AG01	4	moderat	dokumenteret
J05AB01	N03AG01	11	uafklaret	ringe dokumenteret
N03AA02	N03AG01	1	moderat	veldokumenteret
B05BA10	N03AX12	2	uafklaret	veldokumenteret
B05BB01	N03AX12	2	uafklaret	veldokumenteret
N02AA51	N03AX12	18	mulig	dokumenteret
C01BD01	N05AD01	1	mulig	dokumenteret
N02AB03	N05AD01	1	uafklaret	ringe dokumenteret
N03AF01	N05AD01	1	moderat	veldokumenteret
J01XD01	N05AN01	1	moderat	begrænset dokumenteret
J01MA02	N05BA01	3	ingen	veldokumenteret
G03CA03	N05CD05	1	ringe	ringe dokumenteret
H02AB02	N05CD05	49	ingen	dokumenteret
H02AB04	N05CD08	7	ringe	ringe dokumenteret
J01FA09	N05CD08	1	udtalt	veldokumenteret
J01XD01	N05CD08	23	ingen	dokumenteret
J02AC01	N05CD08	4	moderat	veldokumenteret
N01AH01	N05CD08	57	udtalt	ringe dokumenteret
C01BD01	N06AB04	1	udtalt	ringe dokumenteret
N01AH01	N06AB04	1	mulig	ringe dokumenteret
N05CD05	N06AB04	3	ingen	dokumenteret
M01AB05	N07BC02	1	ingen	dokumenteret
C01BD01	P01AB01	2	uafklaret	ringe dokumenteret
J01XD01	R03AK07	4	ingen	dokumenteret
P01AB01	R03AK07	1	ingen	dokumenteret
J01XD01	R03BA02	20	ingen	dokumenteret
C07AB02	V03AE02	2	ingen	dokumenteret
J01MA02	V03AE02	2	moderat	dokumenteret
M01AE01	V04CX	1	moderat	veldokumenteret
